skin_Y,skin_Cr,skin_Cb,hair_R,hair_G,hair_B,eye_R,eye_G,eye_B,contrast,label
219.209375,112.95,140.66921875,245.0,230.2990625,204.3909375,238.615,222.68666666666667,195.90416666666667,27.46645639956809,TONE 1
195.7340625,116.4890625,139.755,104.9015625,115.6840625,126.2840625,214.23,199.00416666666666,179.80416666666667,47.69701565273765,TONE 1
67.728125,148.395625,116.8984375,87.9765625,106.0659375,150.1590625,35.27333333333333,42.8075,68.40666666666667,51.232336637561,TONE 1
78.17515625,149.37875,115.43171875,106.21875,123.7559375,165.5034375,39.77,48.80166666666667,72.71333333333334,54.191069808018185,TONE 1
170.93703125,129.15328125,125.6965625,167.7271875,171.546875,174.446875,165.81583333333333,169.45333333333335,172.22416666666666,32.87411163510734,TONE 1
79.50203125,149.9203125,116.1509375,82.718125,99.605,142.123125,47.528333333333336,56.065,84.56583333333333,47.95982643463173,TONE 1
84.09359375,153.6771875,114.671875,81.64625,95.6,134.0425,63.94583333333333,74.835,107.7575,40.80614874718637,TONE 1
196.8475,122.7871875,135.6965625,210.2990625,198.4815625,191.249375,208.32083333333333,196.9725,188.88666666666666,18.338583082602103,TONE 1
97.81078125,156.82125,114.96375,120.4053125,135.6346875,196.5184375,58.515,64.44083333333333,108.35083333333333,48.206011830890965,TONE 1
149.87453125,160.77828125,103.26875,111.9375,142.590625,202.629375,106.73,135.42,196.47416666666666,23.355374969372683,TONE 1
182.84390625,149.42140625,106.25453125,143.4771875,175.6228125,211.8215625,142.47166666666666,176.72416666666666,212.08916666666667,21.125700637789507,TONE 1
173.19953125,150.48109375,107.141875,137.238125,166.0915625,204.59375,146.36,173.94416666666666,211.27,17.609055961901394,TONE 1
72.84421875,160.385,110.09859375,75.2890625,105.5378125,179.35875,31.935833333333335,46.0475,93.35833333333333,44.904917578256395,TONE 1
73.84765625,160.54671875,109.67953125,74.9490625,106.265,179.898125,29.620833333333334,42.76583333333333,87.35833333333333,44.55516106106564,TONE 1
75.375625,154.07421875,117.3109375,93.0246875,107.3753125,168.0740625,52.225833333333334,57.145833333333336,99.3825,44.86579304924298,TONE 1
132.1934375,152.32390625,108.8603125,121.831875,141.8828125,183.0015625,116.01083333333334,139.03416666666666,181.24166666666667,25.057806583777438,TONE 1
144.7378125,140.09046875,117.135625,141.0815625,159.811875,191.835,119.03333333333333,133.785,154.84416666666667,24.018591782083625,TONE 1
154.415625,142.57296875,115.8546875,116.025625,134.9465625,164.733125,132.01833333333335,146.63083333333333,172.40333333333334,32.26033658531014,TONE 1
62.9746875,155.75578125,115.09171875,73.8978125,97.4359375,165.95375,39.895833333333336,50.755,98.37166666666667,42.60669247218534,TONE 1
80.00953125,159.91234375,111.6121875,85.79125,111.2859375,180.000625,36.083333333333336,45.9125,86.93,42.59547660386018,TONE 1
147.01859375,152.48890625,108.056875,104.825,128.8909375,174.8315625,123.455,148.17,191.29833333333335,22.322614835842487,TONE 1
157.18890625,165.145,100.09203125,113.35875,141.8421875,210.3378125,100.4675,134.48583333333335,204.47333333333333,19.89296883284079,TONE 1
108.985625,136.26203125,121.22484375,70.020625,75.7146875,88.1625,84.73083333333334,90.76666666666667,104.21666666666667,42.143257443985036,TONE 1
101.7746875,159.911875,101.9628125,58.7246875,89.5596875,148.919375,52.2925,83.50166666666667,143.54333333333332,28.458380208253246,TONE 1
180.75140625,150.12078125,104.911875,154.181875,185.1671875,225.00375,139.95083333333332,171.52583333333334,211.29166666666666,12.752573179950781,TONE 1
65.69203125,157.03546875,107.92125,32.793125,52.4478125,104.09875,35.744166666666665,59.26583333333333,113.54916666666666,14.009007336330972,TONE 1
41.68265625,148.4034375,114.98296875,6.5490625,14.6490625,40.8034375,14.198333333333334,28.316666666666666,66.95916666666666,12.505055648016926,TONE 1
47.715625,147.5434375,114.4309375,2.06375,5.318125,11.8415625,7.9125,14.351666666666667,30.601666666666667,40.40811779357429,TONE 1
156.92,171.84109375,86.33921875,90.9071875,147.175,227.665625,82.965,141.29083333333332,221.54166666666666,12.13049332838529,TONE 1
175.67921875,133.86375,123.7009375,167.0934375,174.6309375,187.665,167.52916666666667,172.67583333333334,183.18583333333333,12.876529049398366,TONE 1
